Category,Term,Genes,adj_pval
UP_KEYWORDS,Mitosis,"CDCA3, NUMA1, MIS12, CDCA8, KLHL13, TRIOBP, SKA1, SMC2, CDC20, NUF2, NUSAP1, RBBP8, RCC1, KNTC1, NEK2, FBXO5, KMT5A, LZTS2, CEP55, CENPT, LMLN, KNL1, MASTL, CDC25A, CENPE, TPX2, CENPF, CDK2, KIF2C, NCAPD2, MAPRE1",1.92E-05
GOTERM_CC_DIRECT,GO:0005654~nucleoplasm,"CCNT2, CCNT1, SYAP1, ECI2, KEAP1, HNRNPU, PPP2R2A, ACTB, SMC2, SOX2, PPP1CB, ALKBH3, CDC20, ALKBH2, PSMD7, SALL1, AKT3, SCMH1, CREB3L2, RCC1, KMT5A, FBXO5, KPNA2, HMGN3, KPNA1, GEN1, CSNK2A2, KRT8, KNL1, SDHB, CDC25A, HCFC1, ILF3, NEIL3, SHQ1, TBL1XR1, DKC1, KIF20A, SNRPC, FKBP4, SNRPA, ASF1A, DAP3, ATF4, SKAP2, FKBP5, ZCCHC8, SLBP, DDX5, VCP, KHDRBS3, CTBP1, CDCA8, UBC, UBR5, TP53BP2, CLSPN, SCAI, CTSA, HEXIM1, STAT5A, IVNS1ABP, EGR1, TIA1, CBX6, CHTOP, SMAD4, INTS3, ALYREF, INTS2, SMARCA5, UPF3B, ESRRG, NR1D1, NR0B2, SMARCA4, CDK8, HNRNPM, NR4A1, MSRA, TPX2, ATG16L2, KIF4A, COPS2, AGO1, CDK2, NABP2, PSMG1, SAE1, EZH2, COPS9, NUMA1, CHD4, YBX1, CHTF18, LITAF, PITPNC1, SYNE2, CKS1B, LMNB1, RPS4X, ING5, SYNCRIP, SIX2, MYO18B, PPP6R3, WDR5, DNMT3B, TOPBP1, JAK2, KDM6B, DTX3L, MSL2, FOS, PPRC1, ARID1A, MASTL, DDB2, ITPKC, FAM222B, CREB1, MDFIC, HNRNPH1, IRF1, IVD, AKT1S1, IRF8, BLVRB, FAM193B, SMARCD2, SMARCD3, MLLT1, ARNTL, RAD54B, DNAJB1, NFS1, RBM15B, MAPK8, BTAF1, CDC45, U2AF2, RBBP8, E2F4, HNRNPA1, SLC25A22, EXOSC1, HES5, SRSF12, HNRNPA0, CENPT, SMARCE1, NOP58, RANBP3, TAF15, HSPA1L, LIMK1, NR1H3, MAPK14, HNRNPAB, WDR13, CENPF, PSMC5, CYP24A1, KANSL1, CENPI, TCEA1, NCAPD2, PKN2, FAU, CCDC174, MSRB1, EIF3B",3.06E-04
GOTERM_CC_DIRECT,GO:0005737~cytoplasm,"PI4K2B, LPGAT1, ZMYND8, FRMPD2, ZDHHC5, STMN2, KEAP1, SPINT2, ENO1, IFI30, ACTB, MYLK, SMC2, SOX2, ALKBH3, CDC20, RASSF1, DPYSL2, FTH1, AKT3, DHX58, RAVER2, RCC1, ARFIP2, FBXO5, MLYCD, FBXO7, TMPO, KRT8, SLC6A11, KNL1, KRT5, PASK, ATG12, HCFC1, RBP7, SHTN1, KATNAL1, DAAM1, EWSR1, MAP1B, TXNIP, SIK2, TRIB2, MMADHC, PFN2, SKAP2, ATF4, SLBP, CTBP1, HSPA4L, PDGFB, LPAR1, TWF1, PHYHIPL, PIK3R1, OAZ1, DHX35, TP53BP2, ATP6V0A2, ASL, S100A11, SCAI, STAT5A, HEXIM1, EGR1, FZD3, EGR2, IQSEC2, FUCA1, UPF3B, NR1D1, PARP14, NR0B2, PRDX6, MSRA, AGO1, PSMG1, CALR, EZH2, ACY3, GDI1, GDI2, CCDC124, BICDL1, LITAF, TRIOBP, ACTR1B, IMPA1, TRIM3, JAK2, UBXN4, RALGPS2, LYPLA2, SERPINB1, GSTO1, STRBP, TESC, TSC22D2, ANXA5, TFEB, TMC6, VAMP8, KIF9, MMP14, MDFIC, HNRNPH1, FAM193B, MAPT, MAPRE1, MDFI, CSTB, TRAK1, RAD54B, ARNTL, APOL6, MAP4K5, EXOSC1, LMLN, EVC2, YTHDF1, COLCA2, MBD1, TTC1, SRP68, WDR13, TARBP2, CENPE, PER1, CENPF, PSMC5, KRT18, KRT17, CENPI, KRT14, NCAPD2, PKN2, PLCD1, FRK, IRS1, SYAP1, APEH, PVR, YY1, SALL1, SESN1, NUSAP1, CAPN2, TOM1, KNTC1, NEK2, KMT5A, PHLDA2, KPNA2, LZTS2, HMGN3, KPNA1, SH3GLB1, MAP2K4, POSTN, UBE2E3, SLC30A4, VASH1, ATP1B2, FBXO11, CDC25A, DCTD, ILF3, SHQ1, DKC1, CMPK1, FSCN1, FKBP4, PVALB, ISCU, SNRPA, VCP, CALCA, MRI1, ACAT2, CORO1B, SAV1, GRK1, ADAP2, UBC, UBR5, NACC1, PLXNA1, CLSPN, BCL2L14, TBC1D15, BHLHA9, IVNS1ABP, UBE2F, TIA1, SMAD4, TNK2, KLHL24, HOPX, NR4A1, PTPRE, KIF18A, NACA, UBE2S, P4HA2, KIF4A, COPS2, CDK2, NABP2, TUBGCP4, NF2, AMOTL1, NFKBIE, FGF13, MAP3K14, NFE2L1, COPS9, EIF4G1, ITGB1, GSK3B, NUMA1, CDCA7L, CHD4, YBX1, CHTF18, PITPNC1, SYNE2, UFL1, PPP2R5E, SIX2, PPP6R3, DNMT3B, TOPBP1, EIF5A, PLA2G4F, TRIM62, DTX3L, SGIP1, AHSA1, EDF1, ARFGAP3, MASTL, PTP4A1, TGFBR3, TRAF4, ESPL1, IRF1, AKT1S1, CRY2, CRH, MYH9, BLVRB, SPOPL, FBP1, ALDH9A1, SMARCD3, NUFIP2, VPS4B, TTK, MLLT1, DNAJB1, NFS1, CDC45, MARVELD2, SNCG, STOM, HNRNPA1, EIF4E, CYTH1, JAZF1, PPP1R14B, NOP58, ZNF185, TAF15, KDF1, LIMK1, NAGA, MAPK14, HNRNPAB, SHCBP1, SOD3, SNRK, ACTC1, SBK1, XPNPEP1, CTH, CD247, TPT1, PFKP, EIF3B",3.06E-04
GOTERM_BP_DIRECT,GO:0051301~cell division,"CCNT2, CDCA3, CCNT1, NUMA1, CDCA7L, MIS12, CCDC124, CDCA8, TRIOBP, SKA1, CKS1B, SMC2, CDC20, PPP1CB, NUF2, RBBP8, RCC1, KNTC1, NEK2, FBXO5, KMT5A, LZTS2, CENPT, LMLN, KNL1, MASTL, CDC25A, CENPE, TPX2, CENPF, UBE2S, CDK2, PKN2, KIF2C, NCAPD2, MAPRE1, ARF6",0.013517868
GOTERM_CC_DIRECT,GO:0016020~membrane,"PI4K2B, GHDC, LPGAT1, GOLT1B, ZAN, SPPL2A, ECI2, ZDHHC5, STMN2, PRF1, HNRNPU, ENO1, PHRF1, ACTB, FADS2, PSMD7, POFUT1, DPYSL2, TOM1, PHLDA2, KPNA2, GYG1, TMPO, SH3GLB1, CPT1A, SLC30A4, ACSL6, SDHC, KRT5, LEMD3, PGF, HCFC1, PLA2G15, ILF3, DAAM1, FKBP5, CSF1R, SEMA7A, DDX5, CALCRL, RETSAT, PDGFB, SLC1A2, HMMR, PIK3R1, MTMR7, GRK1, UBR5, PGK1, MLEC, HMOX1, BCL2L14, CTSA, HSPA5, TNK2, ALYREF, ABCA4, INTS2, PARP14, PRDX6, SMARCA4, HNRNPM, MSRA, SLC6A7, SLC6A9, KIF4A, ITGA11, FAT1, PPT1, CALR, TUBGCP4, NF2, EIF4G2, ITM2B, EIF4G1, ITGB1, LGALS3BP, HBS1L, PIGO, GDI2, ATP2A2, CHD4, CHTF18, KIF15, LMNB1, RPS4X, UFL1, SEC61A1, SYNCRIP, ACTR1B, NUF2, CA4, JAK2, YWHAG, CEP55, IKBIP, EIF5A, ABCC4, SERPINB1, ANXA5, FOS, ARFGAP3, VAMP8, VCAN, HNRNPH1, MYH9, KIF2C, SLC25A5, LCT, VAMP2, ARF6, NLGN2, NUFIP2, RPL10, MOSPD2, PKD1L2, TTK, ASAP1, ATP1A1, SLC7A1, PGRMC2, STOM, RPL13, HNRNPA1, SEC23B, MPP1, LMLN, SLC12A3, NOP58, LIMK1, IRGC, RAB11A, DEF6, CENPE, PSMC5, ACTC1, DNAJA2, NCAPD2, CD247, PFKP",5.91E-04
UP_KEYWORDS,Nucleus,"KEAP1, HNRNPU, TMEM97, IFI35, ENO1, SMC2, SOX2, ALKBH3, ALKBH2, RASSF1, CREB3L2, AKT3, RAVER2, RCC1, FBXO5, PTGDS, CCNL1, FBXO7, AGFG1, TMPO, HES6, NKX2-6, KRT8, KNL1, PASK, HCFC1, NEIL3, EWSR1, ASF1A, ATF4, SLBP, CTBP1, HSPA4L, CDCA8, HMGXB4, TP53BP2, S100A11, SCAI, STAT5A, HEXIM1, PLK4, EGR1, EGR2, EGR3, INTS3, INTS2, RAB3IP, SMARCA5, UPF3B, NR1D1, PARP14, NR0B2, SMARCA4, HNRNPM, MSRA, TPX2, FAT1, RCOR2, EZH2, TRIOBP, ZNF280D, SYNCRIP, ING5, CHAF1A, NUF2, JAK2, UBXN4, NCOA5, TESC, TFEB, FOS, PPRC1, DDB2, ITPKC, MDFIC, HNRNPH1, KIF2C, FAM193B, DNASE1L3, MDFI, CSTB, SDAD1, TRAK1, RAD54B, ARNTL, RBM15B, BTAF1, NFIL3, GSC, EXOSC1, SRSF12, EVC2, CENPT, RANBP3, SORT1, MBD1, TMEM176B, PCGF3, NR1H3, SRP68, WDR13, TARBP2, DEF6, PER1, CENPF, PSMC5, KRT18, CENPI, KRT14, TCEA1, NCAPD2, PKN2, NEUROG1, FRK, MSRB1, GHDC, MIDN, CCNT2, CCNT1, NAB1, ZBTB26, FBXO25, YY1, PPP1CB, SALL1, CFL2, SESN1, SCMH1, NUSAP1, KNTC1, NEK2, KMT5A, KPNA2, HMGN3, KPNA1, PUS3, GEN1, BNIP3L, MAP2K4, UBE2E3, ATP1B4, LEMD3, FBXO11, ILF3, MYCN, SHQ1, DKC1, TBL1XR1, CMPK1, FKBP4, SNRPC, ISCU, SNRPA, FKBP5, ZCCHC8, DDX5, DLX2, VCP, KHDRBS3, MRI1, BHLHE23, SAV1, RPF1, SCRT2, DNAJC21, UBC, UBR5, NACC1, CLSPN, BHLHA9, IVNS1ABP, AKIRIN2, TIA1, CBX6, CHTOP, SMAD4, OSBPL6, HELT, TNK2, ALYREF, ESRRG, FOXN4, HOPX, DRAP1, CDK8, NR4A1, KIF18A, FGF14, NACA, KIF4A, COPS2, CDK2, NABP2, NF2, FGF13, SAE1, RSL24D1, NFE2L1, GSK3B, NUMA1, CDCA7L, MCM9, ONECUT1, CHD4, YBX1, CHTF18, SYNE2, LMNB2, LMNB1, UBE2Q1, SIX2, MYO18B, PPP6R3, DNMT3B, WDR5, TOPBP1, KDM6B, EIF5A, KLF13, DTX3L, EDF1, FOXL2, ARID1A, MASTL, KLF15, CREB1, TRAF4, ESPL1, IRF1, CRY2, CRY1, SPOPL, IRF8, SMARCD2, HLF, SMARCD3, NUFIP2, RBM4B, MLLT1, BARX2, DNAJB1, NFS1, MAPK8, CDC45, U2AF2, RBBP8, FYN, E2F4, HNRNPA1, HES5, BEND6, JAZF1, HNRNPA0, E2F8, SMARCE1, NOP58, TAF15, LIMK1, MAPK14, KLF3, HNRNPAB, KLF2, KLF8, KLF7, SNRK, TEF, KANSL1, R3HDM4, CCDC174",3.01E-04
UP_SEQ_FEATURE,nucleotide phosphate-binding region:ATP,"GSK3B, ITK, MCM9, TESK1, HNRNPU, CHD4, CHTF18, MYLK, KIF15, SMC2, NMRK2, AKT3, DHX58, MYO18B, NEK2, TK1, JAK2, MAP2K4, CSNK2A2, PASK, MASTL, ITPKC, KIF9, KATNAL1, LCK, HKDC1, CMPK1, MYH9, ULK2, KIF2C, KIF20A, SIK2, ABCG2, CSF1R, DTYMK, VCP, DDX5, ABCB7, VPS4B, TTK, RAD54B, PAPSS1, CKMT2, GRK1, MAPK8, BTAF1, ERBB3, MAT2A, DHX35, PGK1, FYN, MAP4K5, PLK4, TNK2, LIMK1, SMARCA5, MAPK14, SMARCA4, CDK8, CENPE, KIF18A, PSMC5, SNRK, MAP3K15, SBK1, KIF4A, CDK2, PKN2, MAP3K14, FRK, PFKP",0.009087525
UP_KEYWORDS,Alternative splicing,"FRMPD2, STMN2, HNRNPU, SPINT2, SMC2, MYLK, GLS, ALKBH3, ALKBH2, DPYSL2, CREB3L2, WDR91, AKT3, RAVER2, MS4A12, MLYCD, CMKLR1, HES6, CACNA2D4, GTPBP2, PASK, ATG12, HCFC1, DAAM1, EWSR1, PLEKHS1, GPR161, CDIP1, TXNIP, HPD, SLBP, RETSAT, ABCB7, CTBP1, HHLA2, PHYHIPL, SKA1, MTMR7, ADAMTS14, CEP78, FDFT1, PLK4, FZD3, COL24A1, RAB3IP, FUCA2, UPF3B, FERMT1, HNRNPM, SLC6A9, PPT1, PSMG1, EZH2, LGMN, PIGO, MEI1, SNX10, LITAF, TRIOBP, GPRC6A, ZNF280D, ING5, C1QTNF1, SMPD4, CHAF1A, IMPA1, TRIM3, CEP55, IKBIP, SERPINB1, GSTO1, TESC, TMC6, FOS, TACR1, COQ10B, GNL1, DDB2, IVD, EXOC3, COL21A1, CRB1, ASAH1, PLPPR3, SDAD1, BTAF1, RPL13, CCL25, CENPT, EVC2, YTHDF1, COLCA2, MBD1, PCGF3, NR1H3, TTC9B, SRP68, PLXDC2, WDR13, SLC8A3, CENPE, PSMC5, CENPI, PKN2, PLCD1, FRK, VKORC1L1, GHDC, CCNT2, CCNT1, NAB1, FBXO25, SLA, FADS2, SALL1, POFUT1, CFL2, SESN1, SCMH1, TOM1, NEK2, KMT5A, HMGN3, GYG1, PCDHAC2, SH3GLB1, MAP2K4, MYLIP, BNIP3L, KCNH7, UBALD1, VASH1, FBXO11, FRMD1, PGF, CDC25A, SLC9A3, ILF3, CACNB4, STIM1, S100A5, PHLDB3, FKBP5, COL17A1, CSF1R, SEMA7A, DLX2, KHDRBS3, FECH, ABHD4, ABHD3, ILDR1, MRI1, HMMR, ACAT2, ADAP2, UBR5, PGK1, PLXNA2, ANKRD10, SLC38A2, BCL2L14, CD276, CHTOP, TIA1, OSBPL6, ODF2, TNK2, ESRRG, FOXN4, HOPX, GGCT, DRAP1, CDK8, MAP3K15, NACA, P4HA2, COPS2, ITGA11, CDK2, TUBGCP4, NF2, RNF185, NFE2L1, EIF4G2, COPS9, EIF4G1, ITGB1, MOXD1, NUMA1, SH2D4B, CDCA7L, MCM9, ETFA, SYNE2, SCRN2, PSD3, PPP6R3, DNMT3B, EIF5A, TRIM62, DTX3L, SGIP1, TNFRSF19, MSL2, AHSA1, EDF1, ARFGAP3, C1QL3, TRAF4, ESPL1, LCK, SMPDL3A, ALDH9A1, SMARCD2, SMARCD3, PPM1L, NUFIP2, FRRS1, ITLN2, TTK, PPM1K, DNAJB1, NFS1, CDC45, SLC25A28, U2AF2, RBBP8, VPS54, TNNI2, FYN, C3ORF33, HNRNPA1, EIF4E, BEND6, JAZF1, SMARCE1, SLC12A3, CTNS, KLF3, HNRNPAB, TMPPE, KLF8, KLF7, SNRK, TRIM39, CTH, CD247, TPT1, PFKP, EIF3B, TRAF3IP2, ZMYND8, ZAN, ECI2, ZDHHC5, PPP2R2A, IFI35, LDLRAD4, LCTL, ANTXR1, RASSF1, C10ORF71, ADGRA1, RCC1, ARFIP2, FBXO5, CCNL1, FBXO7, AGFG1, TMPO, VSIG8, CPT1A, PAQR4, LIMCH1, SLC6A13, ACSL6, KRT8, SLC6A11, KNL1, SHTN1, TWSG1, CD109, MXRA8, KDELR2, KIF20A, NBL1, KCTD15, PFN2, TMEM87A, STXBP2, SLC35D2, MGST1, LPAR1, PIK3R3, TWF1, CD99L2, PIK3R1, SYNGR2, SCFD2, DHX35, TP53BP2, MAP6, OTOF, ST8SIA5, ASL, TSPAN3, DECR2, SCAI, CTSA, STAT5A, EGR2, EGR3, IQSEC2, SLC35E1, INTS3, BSDC1, RASSF8, PARP14, SMARCA4, MSRA, TPX2, COL9A1, TMCC1, FBXL5, ITM2B, ITM2C, HBS1L, SLC44A4, SLC44A2, GDI2, BICDL1, KIF15, SYNCRIP, NMRK2, RALGPS2, STRBP, TSC22D2, TFEB, PPRC1, SYN2, RENBP, KIF9, MDFIC, PACS2, VWA1, FAM193B, VWA2, KIF2C, MAPT, DNASE1L3, VWA7, NAPB, DTYMK, TRAK1, RAD54B, ARNTL, RBM15B, PGRMC2, FAM184A, EMC1, MPP1, LMLN, RANBP3, SORT1, TMEM176B, UBE2G2, RAB11A, PER1, TCEA1, TJP3, GALNT11, FAIM2, PHRF1, PVR, NUSAP1, CAPN2, KNTC1, PAMR1, POSTN, ATP1B4, SDHC, ATP1B3, TMEM251, RUNDC3A, PLA2G15, ALDH3A2, DCTD, SHQ1, DKC1, SPNS1, CMPK1, WDFY4, ISCU, ABCG2, DAP3, ZCCHC8, PMEL, DDX5, CALCA, SLC1A2, KLHL13, CACNA1F, RTN4, DNAJC21, UAP1L1, CDH26, CLSPN, PRODH, TBC1D17, TBC1D15, UBE2F, HELT, KLHL24, NR4A1, EFNA3, FGF14, TRPV6, ATG16L2, KIF4A, NABP2, RSRP1, GNB3, MAN2B1, AMOTL1, FGF13, SAE1, RNF103-CHMP3, GSK3B, NAA40, ATP2A2, CHD4, CHTF18, PITPNC1, ELAVL3, SEC61A1, UFL1, UBE2Q1, BCL7A, PPP2R5E, MYO18B, CA4, CASP1, KDM6B, ABCC4, PLA2G4F, ARHGEF16, ARID1A, MASTL, TGFBR3, ADGRF3, VCAN, CREB1, HKDC1, AKT1S1, CRY2, MYH9, CHMP5, HLF, ANKS3, RAP1GDS1, MOSPD2, PKD1L2, ASAP1, ABHD17C, ATP1A1, DLL1, AGPAT4, FAM168B, MAPK8, ERBB3, MAT2A, MARVELD2, MARVELD3, STOM, ZPLD1, CYTH1, OPCML, ZNF185, TAF15, LIMK1, MAPK14, SPATA2L, GALC, CYP24A1, XPNPEP1, KANSL1, TEF, FAM98A, PDE7A",4.15E-04
UP_KEYWORDS,Lysosome,"ASAH1, SPPL2A, CTSZ, TMEM97, IFI30, LITAF, DPP7, CTSL, CTSK, CTSB, CTSA, PLA2G4F, SORT1, FUCA1, ARRDC3, SLC30A4, GGH, CTNS, NAGA, PRDX6, GALC, VAMP8, PLA2G15, PPT1, PLBD1, MAN2B1, LGMN, ITM2C",4.15E-04
GOTERM_CC_DIRECT,GO:0005783~endoplasmic reticulum,"GHDC, GOLT1B, CTSZ, KEAP1, ATP2A2, SNX10, LCTL, PHEX, UFL1, SYNCRIP, SMPD4, POFUT1, CREB3L2, CAPN2, PIEZO1, UBXN4, IKBIP, BNIP3L, GPR37, MYOC, ELOVL2, AHSA1, ELOVL6, FOS, TMC6, VASH1, ELOVL7, PTP4A1, STIM1, SELENOS, PACS2, MIP, KDELR2, DNASE1L3, VCP, CALCRL, RPL10, SAR1B, RAP1GDS1, MGST1, ATP1A1, HACD2, THBS4, RTN4, HACD4, EXTL2, STC2, MLEC, HMOX1, STOM, APOD, SEC23B, FDFT1, CTSA, HSPA5, UBE2G2, SRP68, MANF, TBL2, P4HA2, PSMG1, CALR, RNF185",0.0027467
UP_KEYWORDS,Isopeptide bond,"ITGB1, NUMA1, NAB1, ZMYND8, ATP2A2, HNRNPU, CHD4, YBX1, ACTB, LMNB2, LMNB1, SOX2, ZNF280D, CDC20, YY1, SYNCRIP, SALL1, CHAF1A, PSMD7, BCL7A, CREB3L2, CCNL1, ANXA5, KRT8, MSL2, AHSA1, FOXL2, KRT5, FOS, ATG12, HCFC1, ILF3, CREB1, DKC1, IRF1, CRY2, FSCN1, CRY1, TXNIP, MAPT, FKBP4, ATF4, DDX5, CUL5, NUFIP2, RPL10, CTBP1, DLL1, ARNTL, NFIL3, U2AF2, UBC, NACC1, RBBP8, RPL13, HNRNPA1, HNRNPA0, SMARCE1, NOP58, SMAD4, HSPA5, MBD1, ESRRG, TUBB4B, KLF3, KLF8, CENPE, TPX2, HNRNPM, KIF18A, KRT18, ACTC1, KRT17, TCEA1, RNF103-CHMP3",0.001163455
UP_KEYWORDS,ATP-binding,"PI4K2B, GSK3B, ITK, MCM9, TESK1, ATP2A2, HNRNPU, CHD4, CHTF18, ACTB, MYLK, KIF15, SMC2, ACTR1B, UBE2Q1, NMRK2, AKT3, DHX58, MYO18B, NEK2, TK1, JAK2, MAP2K4, ABCC4, UBE2E3, CSNK2A2, ACSL6, PASK, MASTL, ITPKC, KIF9, KATNAL1, LCK, HKDC1, CMPK1, MYH9, ULK2, KIF2C, KIF20A, SIK2, ABCG2, CSF1R, DTYMK, VCP, DDX5, ABCB7, VPS4B, HSPA4L, TTK, ATP1A1, RAD54B, PAPSS1, CKMT2, GRK1, MAPK8, BTAF1, ERBB3, MAT2A, DHX35, PGK1, FYN, MAP4K5, UBE2F, PLK4, HSPA1L, HSPA5, TNK2, LIMK1, ABCA4, SMARCA5, UBE2G2, MAPK14, SMARCA4, CDK8, CENPE, KIF18A, PSMC5, SNRK, MAP3K15, SBK1, ACTC1, UBE2S, KIF4A, CDK2, PKN2, MAP3K14, FRK, PFKP",0.001163455
UP_KEYWORDS,Methylation,"ZDHHC5, TESK1, HNRNPU, ACTB, TRIOBP, LMNB2, LMNB1, GNGT1, ING5, UFL1, SYNCRIP, RASSF1, DPYSL2, RCC1, RAC3, FBXO7, RAB8B, TMPO, MAP2K4, STRBP, KRT8, EDF1, TMC6, ARID1A, HCFC1, PTP4A1, ILF3, CACNB4, EWSR1, HNRNPH1, AKT1S1, MAPT, SLC25A5, FKBP4, SNRPA, SEMA7A, SMARCD2, VCP, NUFIP2, HSPA4L, GRK1, GNG10, HNRNPA1, HNRNPA0, SMARCE1, CHTOP, TAF15, IQSEC2, HSPA5, TNK2, ALYREF, UPF3B, WDR13, HNRNPAB, NR0B2, RAB11A, GNG13, CENPE, HNRNPM, CENPF, SNRK, KRT18, ACTC1, DNAJA2, RSRP1, RCOR2, EIF4G2, EIF4G1",0.001208756
GOTERM_CC_DIRECT,GO:0030496~midbody,"SH3GLB1, GDI1, HSPA5, CCDC124, CDCA8, KEAP1, KLHL13, SHCBP1, TRIOBP, CENPE, CENPF, KIF4A, NEK2, PKN2, KIF20A, LZTS2, CEP55, ARF6",0.004086846
GOTERM_BP_DIRECT,GO:0007067~mitotic nuclear division,"CDCA3, NUMA1, MIS12, KLHL13, TRIOBP, SKA1, KIF15, CDC20, NUF2, RBBP8, RCC1, KNTC1, NEK2, FBXO5, KMT5A, LZTS2, CEP55, CENPT, LMLN, KNL1, MASTL, CDC25A, TPX2, CENPF, CDK2, KIF2C, MAPRE1",0.100856601
GOTERM_MF_DIRECT,GO:0098641~cadherin binding involved in cell-cell adhesion,"ITGB1, TWF1, ASAP1, ENO1, CORO1B, RTN4, DNAJB1, EFHD2, ARFIP2, MB21D2, S100A11, TMPO, SH3GLB1, LYPLA2, HSPA5, ARHGEF16, AHSA1, PRDX6, HCFC1, SHTN1, KRT18, FSCN1, EXOC3, MYH9, PKN2, MAPRE1, PFKP, EIF4G2, CHMP5, EIF4G1",0.034433717
GOTERM_CC_DIRECT,GO:0005913~cell-cell adherens junction,"ITGB1, TWF1, ASAP1, ENO1, PVR, CORO1B, RTN4, DNAJB1, EFHD2, ARFIP2, MB21D2, S100A11, TMPO, SH3GLB1, LYPLA2, HSPA5, ARHGEF16, AHSA1, PRDX6, HCFC1, SHTN1, KRT18, FSCN1, EXOC3, MYH9, PKN2, MAPRE1, PFKP, EIF4G2, CHMP5, EIF4G1",0.006946722
UP_KEYWORDS,Host-virus interaction,"ITGB1, ACY3, CCNT2, CUL5, CCNT1, ITGB5, CTBP1, PIK3R1, PVR, SYNCRIP, RBM15B, ANPEP, DHX58, FYN, HNRNPA1, KPNA2, EIF4E, KPNA1, IVNS1ABP, BNIP3L, ALYREF, KRT8, HCFC1, KRT18, CREB1, PACS2, MDFIC, LCK, NACA, CD247, SLC25A5, ATP6V0C, EIF4G1",0.003226907
UP_KEYWORDS,Cytoskeleton,"NUMA1, CCDC124, BICDL1, SNX10, CHD4, SYNE2, ACTB, TRIOBP, MYLK, KIF15, CDC20, RASSF1, ACTR1B, AKAP11, DPYSL2, CFL2, NUSAP1, RAC3, KNTC1, NEK2, FBXO5, TOPBP1, LZTS2, CEP55, MASTL, PTP4A1, SHTN1, KIF9, STIM1, TRAF4, KATNAL1, DAAM1, MAP1B, FSCN1, MYH9, KIF2C, KIF20A, MAPT, MAPRE1, FKBP4, TRIB2, ATF4, PFN2, CDCA8, TWF1, GABARAP, CORO1B, SKA1, MAP6, SNCG, STOM, CEP78, IVNS1ABP, EVC2, PLK4, ZNF185, ODF2, RAB3IP, TUBB4B, SHCBP1, DEF6, CENPE, FERMT1, TPX2, KIF18A, CENPF, ACTC1, KIF4A, CDK2, PKN2, NF2, TUBGCP4, MSRB1",0.003287411
GOTERM_CC_DIRECT,GO:0048471~perinuclear region of cytoplasm,"ITGB1, GSK3B, CCNT2, STMN2, ATP2A2, PHEX, CDC20, CA4, RAC3, PTGDS, RAB8B, CTSB, OLFM4, VAMP8, SHTN1, TRAF4, FKBP4, VAMP5, VAMP2, VCP, TWF1, GABARAP, CORO1B, FAM168B, STC2, TP53BP2, MAP6, VPS54, HMOX1, SNCG, STOM, APOD, EIF4E, SEC23B, SORT1, DEF6, RAB11A, TARBP2, MANF, SLC8A3, CENPF, KRT18, FAT1, PKN2, NF2, CALR, NFKBIE, FBXL5, ITM2C",0.006990868
GOTERM_BP_DIRECT,GO:0098609~cell-cell adhesion,"TWF1, ASAP1, ENO1, CORO1B, RTN4, DNAJB1, EFHD2, ARFIP2, MB21D2, S100A11, TMPO, SH3GLB1, LYPLA2, HSPA5, ARHGEF16, AHSA1, PRDX6, HCFC1, SHTN1, KRT18, FSCN1, EXOC3, PKN2, MAPRE1, PFKP, EIF4G2, CHMP5, EIF4G1",0.118235191
KEGG_PATHWAY,hsa04964:Proximal tubule bicarbonate reclamation,"SLC9A3, CA4, ATP1B4, ATP1B3, ATP1B2, ATP1A1, SLC38A3, GLS",0.037167718
UP_KEYWORDS,Biological rhythms,"GSK3B, DDX5, HLF, HNRNPU, NR1D1, ARNTL, PPP1CB, PER1, MAPK8, CREB1, TEF, NFIL3, CRY2, CRY1, EZH2, ATF4",0.004251052
UP_KEYWORDS,Repressor,"CTBP1, CDCA7L, NAB1, ENO1, YBX1, RAD54B, YY1, SALL1, NFIL3, U2AF2, NACC1, SCMH1, DNMT3B, KMT5A, HES5, SCAI, BEND6, E2F8, HEXIM1, HES6, AKIRIN2, CBX6, KLF13, HELT, NCOA5, PCGF3, NR1D1, KLF3, NR0B2, HOPX, SMARCA4, KLF8, DRAP1, CDK8, MDFIC, EWSR1, TBL1XR1, IRF1, AGO1, CRY2, CRY1, RCOR2, EIF4G2, EZH2",0.004251052
GOTERM_CC_DIRECT,GO:0032154~cleavage furrow,"ITGB1, PLK4, MYH9, PKN2, NF2, MASTL, CEP55, RAB11A, ARF6, MYLK",0.010003448
UP_KEYWORDS,Microtubule,"NUMA1, GABARAP, SKA1, KIF15, RASSF1, NUSAP1, MAP6, NEK2, LZTS2, ODF2, TUBB4B, CENPE, TPX2, KIF18A, KIF9, STIM1, KATNAL1, KIF4A, MAP1B, KIF2C, KIF20A, TUBGCP4, MAPT, MAPRE1, FGF13, FKBP4",0.004735162
